GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L1C_T34TDK_A048324_20240922T093059,S2A_MSIL1C_20240922T093031_N0511_R136_T34TDK_20240922T102333,GS2A_20240922T093031_048324_N05.11,34TDK,2024-09-22T09:39:26.665000Z,849102732,16.3605064349488,,2024-09-22T10:23:33.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20240922T093031_N0511_R136_T34TDK_20240922T102333.SAFE
L1C_T34TDL_A039444_20240924T092149,S2B_MSIL1C_20240924T092029_N0511_R093_T34TDL_20240924T112403,GS2B_20240924T092029_039444_N05.11,34TDL,2024-09-24T09:29:13.703000Z,118933152,84.2292663494721,,2024-09-24T11:24:03.000000Z,41.551895015239296,40.56265000099913,20.790325290248678,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20240924T092029_N0511_R093_T34TDL_20240924T112403.SAFE
L1C_T34TDK_A039444_20240924T092149,S2B_MSIL1C_20240924T092029_N0511_R093_T34TDK_20240924T112403,GS2B_20240924T092029_039444_N05.11,34TDK,2024-09-24T09:29:26.624000Z,259379666,94.5977803724297,,2024-09-24T11:24:03.000000Z,40.650940994911885,39.660683669932624,20.514226887381593,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20240924T092029_N0511_R093_T34TDK_20240924T112403.SAFE
L1C_T34TDM_A048367_20240925T094108,S2A_MSIL1C_20240925T094031_N0511_R036_T34TDM_20240925T103457,GS2A_20240925T094031_048367_N05.11,34TDM,2024-09-25T09:48:50.174000Z,70168290,83.9958472471958,,2024-09-25T10:34:57.000000Z,42.448615715825106,41.83527752269778,19.783394354172447,20.02292578286464,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20240925T094031_N0511_R036_T34TDM_20240925T103457.SAFE
L1C_T34TDM_A039487_20240927T093032,S2B_MSIL1C_20240927T093029_N0511_R136_T34TDM_20240927T102421,GS2B_20240927T093029_039487_N05.11,34TDM,2024-09-27T09:38:56.313000Z,841093151,0.0,,2024-09-27T10:24:21.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20240927T093029_N0511_R136_T34TDM_20240927T102421.SAFE
L1C_T34TDL_A039487_20240927T093032,S2B_MSIL1C_20240927T093029_N0511_R136_T34TDL_20240927T102421,GS2B_20240927T093029_039487_N05.11,34TDL,2024-09-27T09:39:10.781000Z,841319349,0.0,,2024-09-27T10:24:21.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20240927T093029_N0511_R136_T34TDL_20240927T102421.SAFE
L1C_T34TEK_A039487_20240927T093032,S2B_MSIL1C_20240927T093029_N0511_R136_T34TEK_20240927T102421,GS2B_20240927T093029_039487_N05.11,34TEK,2024-09-27T09:39:21.123000Z,496492220,0.0,,2024-09-27T10:24:21.000000Z,40.6509465300432,39.660509342338585,20.99964480194382,21.877721198749494,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2B_MSIL1C_20240927T093029_N0511_R136_T34TEK_20240927T102421.SAFE
L1C_T34TDK_A039487_20240927T093032,S2B_MSIL1C_20240927T093029_N0511_R136_T34TDK_20240927T102421,GS2B_20240927T093029_039487_N05.11,34TDK,2024-09-27T09:39:25.095000Z,845775529,0.0,,2024-09-27T10:24:21.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20240927T093029_N0511_R136_T34TDK_20240927T102421.SAFE
L1C_T34TDL_A048424_20240929T092222,S2A_MSIL1C_20240929T092031_N0511_R093_T34TDL_20240929T101001,GS2A_20240929T092031_048424_N05.11,34TDL,2024-09-29T09:29:17.426000Z,145445278,14.6592377462284,,2024-09-29T10:10:01.000000Z,41.551906678372056,40.56262205628811,20.77496363317664,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20240929T092031_N0511_R093_T34TDL_20240929T101001.SAFE
L1C_T34TDK_A048424_20240929T092222,S2A_MSIL1C_20240929T092031_N0511_R093_T34TDK_20240929T101001,GS2A_20240929T092031_048424_N05.11,34TDK,2024-09-29T09:29:30.417000Z,346130368,14.7851255846108,,2024-09-29T10:10:01.000000Z,40.650938611744316,39.66062939620251,20.500930743216248,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20240929T092031_N0511_R093_T34TDK_20240929T101001.SAFE
